repo,path,file,ext,code_length,comment_length,number_of_comments,total_smiley_faces,frown,smiley_1,smiley_2,smiley_3,smiley_4,smiley_5,smiley_6,smiley_7
angular.js,/src/ngLocale/,angular-locale_is.js,.js,2072,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_it-it.js,.js,1962,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_it-sm.js,.js,1962,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_it.js,.js,1959,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ngLocale/,angular-locale_iw.js,.js,2880,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,ObjectModelSpec.js,.js,11028,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,ScenarioSpec.js,.js,1400,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,SpecRunnerSpec.js,.js,4181,23,1,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,RunnerSpec.js,.js,3325,184,6,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/e2e/,widgets-scenario.js,.js,2618,47,1,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,dslSpec.js,.js,26889,496,20,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,matchersSpec.js,.js,1489,121,1,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/,mocks.js,.js,873,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/output/,HtmlSpec.js,.js,3958,50,7,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/output/,jsonSpec.js,.js,987,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/output/,objectSpec.js,.js,1027,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngScenario/output/,xmlSpec.js,.js,1511,0,0,0,0,0,0,0,0,0,0,0
angular.js,/test/ngTouch/directive/,ngClickSpec.js,.js,14714,351,6,0,0,0,0,0,0,0,0,0
angular.js,/test/ngTouch/directive/,ngSwipeSpec.js,.js,5911,401,8,0,0,0,0,0,0,0,0,0
angular.js,/,validate-commit-msg.js,.js,1847,762,14,1,0,0,0,1,0,0,0,0
angular.js,/test/ngTouch/,swipeSpec.js,.js,10700,401,8,0,0,0,0,0,0,0,0,0
angular.js,/,validate-commit-msg.spec.js,.js,2763,16,2,0,0,0,0,0,0,0,0,0
backbone,/,backbone-min.js,.js,19962,35,1,0,0,0,0,0,0,0,0,0
backbone,/docs/js/,jquery.lazyload.js,.js,6572,930,17,0,0,0,0,0,0,0,0,0
backbone,/examples/,backbone.localStorage.js,.js,3882,1726,30,0,0,0,0,0,0,0,0,0
backbone,/examples/todos/,todos.js,.js,3856,2684,56,0,0,0,0,0,0,0,0,0
backbone,/,index.js,.js,40,0,0,0,0,0,0,0,0,0,0,0
backbone,/,backbone.js,.js,39258,23720,439,0,0,0,0,0,0,0,0,0
backbone,/test/,environment.js,.js,968,144,3,0,0,0,0,0,0,0,0,0
backbone,/test/,collection.js,.js,41299,563,19,0,0,0,0,0,0,0,0,0
backbone,/test/,noconflict.js,.js,363,0,0,0,0,0,0,0,0,0,0,0
backbone,/test/,events.js,.js,14299,83,1,0,0,0,0,0,0,0,0,0
backbone,/test/,model.js,.js,34682,167,5,0,0,0,0,0,0,0,0,0
backbone,/test/,router.js,.js,22079,3505,55,0,0,0,0,0,0,0,0,0
backbone,/test/,sync.js,.js,6842,0,0,0,0,0,0,0,0,0,0,0
backbone,/test/vendor/,jquery.js,.js,195534,68001,1372,3,0,1,0,0,0,2,0,0
backbone,/test/vendor/,json2.js,.js,12163,4927,84,0,0,0,0,0,0,0,0,0
backbone,/test/vendor/,runner.js,.js,2518,628,10,1,0,0,0,0,0,1,0,0
backbone,/test/vendor/,qunit.js,.js,46772,11292,225,0,0,0,0,0,0,0,0,0
backbone,/test/vendor/,require.js,.js,56974,24441,409,0,0,0,0,0,0,0,0,0
backbone,/test/,view.js,.js,9624,68,1,0,0,0,0,0,0,0,0,0
backbone,/test/vendor/,underscore.js,.js,29862,14814,267,0,0,0,0,0,0,0,0,0
brackets,/,Gruntfile.js,.js,8253,4020,44,0,0,0,0,0,0,0,0,0
brackets,/src/LiveDevelopment/Agents/,CSSAgent.js,.js,4261,3429,30,0,0,0,0,0,0,0,0,0
